Abone_No,Kaçak_Flag,Tarif,TCKN NO,Cinsiyet,Yas,Aile_Risk_Factor,Parch,Sayac_Tip,Toplam_Fatura_Tutari
508,1,1,34623443657,male,,0,0,111427,26.55
509,0,3,40201847904,male,28,0,0,C 4001,22.525
510,1,3,34822694593,male,26,0,0,1601,56.4958
511,1,3,26319702333,male,29,0,0,382651,7.75
512,0,3,29898623133,male,,0,0,SOTON/OQ 3101316,8.05
513,1,1,25011920105,male,36,0,0,PC 17473,26.2875
514,1,1,31522449031,female,54,1,0,PC 17603,59.4
515,0,3,34736910354,male,24,0,0,349209,7.4958
516,0,1,33525739693,male,47,0,0,36967,34.0208
517,1,2,35890506665,female,34,0,0,C.A. 34260,10.5
518,0,3,34157566024,male,,0,0,371110,24.15
519,1,2,32635220716,female,36,1,0,226875,26
520,0,3,22080379348,male,32,0,0,349242,7.8958
521,1,1,45688517329,female,30,0,0,12749,93.5
522,0,3,25921608282,male,22,0,0,349252,7.8958
523,0,3,26664328762,male,,0,0,2624,7.225
524,1,1,45511694654,female,44,0,1,111361,57.9792
525,0,3,30672485435,male,,0,0,2700,7.2292
526,0,3,22558910022,male,40.5,0,0,367232,7.75
527,1,2,45038298512,female,50,0,0,W./C. 14258,10.5
528,0,1,40295758240,male,,0,0,PC 17483,221.7792
529,0,3,43376127411,male,39,0,0,3101296,7.925
530,0,2,38442366742,male,23,2,1,29104,11.5
531,1,2,45675749777,female,2,1,1,26360,26
532,0,3,25932926882,male,,0,0,2641,7.2292
533,0,3,43963683252,male,17,1,1,2690,7.2292
534,1,3,30976366453,female,,0,2,2668,22.3583
535,0,3,42856880023,female,30,0,0,315084,8.6625
536,1,2,28289139425,female,7,0,2,F.C.C. 13529,26.25
537,0,1,35472874900,male,45,0,0,113050,26.55
538,1,1,37303477254,female,30,0,0,PC 17761,106.425
539,0,3,36208076390,male,,0,0,364498,14.5
540,1,1,34886280643,female,22,0,2,13568,49.5
541,1,1,40220315341,female,36,0,2,WE/P 5735,71
542,0,3,40642420268,female,9,4,2,347082,31.275
543,0,3,27665069008,female,11,4,2,347082,31.275
544,1,2,29547146955,male,32,1,0,2908,26
545,0,1,44268591074,male,50,1,0,PC 17761,106.425
546,0,1,29987418673,male,64,0,0,693,26
547,1,2,33692266072,female,19,1,0,2908,26
548,1,2,34621249356,male,,0,0,SC/PARIS 2146,13.8625
549,0,3,40835350536,male,33,1,1,363291,20.525
550,1,2,36408002228,male,8,1,1,C.A. 33112,36.75
551,1,1,39895004891,male,17,0,2,17421,110.8833
552,0,2,25702765604,male,27,0,0,244358,26
553,0,3,27543803611,male,,0,0,330979,7.8292
554,1,3,30182779509,male,22,0,0,2620,7.225
555,1,3,27103492043,female,22,0,0,347085,7.775
556,0,1,39714012496,male,62,0,0,113807,26.55
557,1,1,37007357385,female,48,1,0,11755,39.6
558,0,1,30448357860,male,,0,0,PC 17757,227.525
559,1,1,27997905597,female,39,1,1,110413,79.65
560,1,3,21646134228,female,36,1,0,345572,17.4
561,0,3,25661302534,male,,0,0,372622,7.75
562,0,3,35325959028,male,40,0,0,349251,7.8958
563,0,2,34723945842,male,28,0,0,218629,13.5
564,0,3,41912246811,male,,0,0,SOTON/OQ 392082,8.05
565,0,3,25397429324,female,,0,0,SOTON/O.Q. 392087,8.05
566,0,3,26395655421,male,24,2,0,A/4 48871,24.15
567,0,3,26913609114,male,19,0,0,349205,7.8958
568,0,3,28948485999,female,29,0,4,349909,21.075
569,0,3,44285859026,male,,0,0,2686,7.2292
570,1,3,31516315406,male,32,0,0,350417,7.8542
571,1,2,38380203122,male,62,0,0,S.W./PP 752,10.5
572,1,1,45877717231,female,53,2,0,11769,51.4792
573,1,1,23403947359,male,36,0,0,PC 17474,26.3875
574,1,3,44663716413,female,,0,0,14312,7.75
575,0,3,37967214956,male,16,0,0,A/4. 20589,8.05
576,0,3,33937767798,male,19,0,0,358585,14.5
577,1,2,29944621357,female,34,0,0,243880,13
578,1,1,38606464368,female,39,1,0,13507,55.9
579,0,3,28965588812,female,,1,0,2689,14.4583
580,1,3,35468562628,male,32,0,0,STON/O 2. 3101286,7.925
581,1,2,34280923516,female,25,1,1,237789,30
582,1,1,34344242146,female,39,1,1,17421,110.8833
583,0,2,24373377356,male,54,0,0,28403,26
584,0,1,42581261869,male,36,0,0,13049,40.125
585,0,3,36432703964,male,,0,0,3411,8.7125
586,1,1,33430465158,female,18,0,2,110413,79.65
587,0,2,32239294008,male,47,0,0,237565,15
588,1,1,40893019490,male,60,1,1,13567,79.2
589,0,3,45522620197,male,22,0,0,14973,8.05
590,0,3,45080877321,male,,0,0,A./5. 3235,8.05
591,0,3,20504198635,male,35,0,0,STON/O 2. 3101273,7.125
592,1,1,25965257868,female,52,1,0,36947,78.2667
593,0,3,36684611463,male,47,0,0,A/5 3902,7.25
594,0,3,41167117028,female,,0,2,364848,7.75
595,0,2,22726987649,male,37,1,0,SC/AH 29037,26
596,0,3,28657766431,male,36,1,1,345773,24.15
597,1,2,32966281251,female,,0,0,248727,33
598,0,3,37193191492,male,49,0,0,LINE,0
599,0,3,26373627810,male,,0,0,2664,7.225
600,1,1,20028838715,male,49,1,0,PC 17485,56.9292
601,1,2,33172432521,female,24,2,1,243847,27
602,0,3,30014963203,male,,0,0,349214,7.8958
603,0,1,21935144094,male,,0,0,113796,42.4
604,0,3,22778474183,male,44,0,0,364511,8.05
605,1,1,33314296265,male,35,0,0,111426,26.55
606,0,3,36283515590,male,36,1,0,349910,15.55
607,0,3,34150605106,male,30,0,0,349246,7.8958
608,1,1,37216458297,male,27,0,0,113804,30.5
609,1,2,30356802660,female,22,1,2,SC/Paris 2123,41.5792
610,1,1,33523969530,female,40,0,0,PC 17582,153.4625
611,0,3,33687100777,female,39,1,5,347082,31.275
612,0,3,42103396142,male,,0,0,SOTON/O.Q. 3101305,7.05
613,1,3,38795592511,female,,1,0,367230,15.5
614,0,3,40873559419,male,,0,0,370377,7.75
615,0,3,32182263336,male,35,0,0,364512,8.05
616,1,2,40428992473,female,24,1,2,220845,65
617,0,3,31320940385,male,34,1,1,347080,14.4
618,0,3,32172604773,female,26,1,0,A/5. 3336,16.1
619,1,2,44841851547,female,4,2,1,230136,39
620,0,2,38104135771,male,26,0,0,31028,10.5
621,0,3,33689577529,male,27,1,0,2659,14.4542
622,1,1,31846003278,male,42,1,0,11753,52.5542
623,1,3,39415709064,male,20,1,1,2653,15.7417
624,0,3,30042784783,male,21,0,0,350029,7.8542
625,0,3,21223322347,male,21,0,0,54636,16.1
626,0,1,22898932811,male,61,0,0,36963,32.3208
627,0,2,20721190189,male,57,0,0,219533,12.35
628,1,1,37314476628,female,21,0,0,13502,77.9583
629,0,3,28228186642,male,26,0,0,349224,7.8958
630,0,3,21498573923,male,,0,0,334912,7.7333
631,1,1,43455079999,male,80,0,0,27042,30
632,0,3,42863288364,male,51,0,0,347743,7.0542
633,1,1,36443746721,male,32,0,0,13214,30.5
634,0,1,38207315818,male,,0,0,112052,0
635,0,3,41480879871,female,9,3,2,347088,27.9
636,1,2,44343111792,female,28,0,0,237668,13
637,0,3,22736270063,male,32,0,0,STON/O 2. 3101292,7.925
638,0,2,27638382505,male,31,1,1,C.A. 31921,26.25
639,0,3,34545591008,female,41,0,5,3101295,39.6875
640,0,3,36137386078,male,,1,0,376564,16.1
641,0,3,37658298238,male,20,0,0,350050,7.8542
642,1,1,44056219856,female,24,0,0,PC 17477,69.3
643,0,3,39643298952,female,2,3,2,347088,27.9
644,1,3,40370458909,male,,0,0,1601,56.4958
645,1,3,45478740652,female,0.75,2,1,2666,19.2583
646,1,1,23744478032,male,48,1,0,PC 17572,76.7292
647,0,3,23238568427,male,19,0,0,349231,7.8958
648,1,1,43584928836,male,56,0,0,13213,35.5
649,0,3,21188734778,male,,0,0,S.O./P.P. 751,7.55
650,1,3,34124008410,female,23,0,0,CA. 2314,7.55
651,0,3,40873184624,male,,0,0,349221,7.8958
652,1,2,44334303267,female,18,0,1,231919,23
653,0,3,24974129900,male,21,0,0,8475,8.4333
654,1,3,34376257057,female,,0,0,330919,7.8292
655,0,3,45368311622,female,18,0,0,365226,6.75
656,0,2,21406723822,male,24,2,0,S.O.C. 14879,73.5
657,0,3,28891417010,male,,0,0,349223,7.8958
658,0,3,26251189909,female,32,1,1,364849,15.5
659,0,2,25738925301,male,23,0,0,29751,13
660,0,1,39196757681,male,58,0,2,35273,113.275
661,1,1,44252692977,male,50,2,0,PC 17611,133.65
662,0,3,42050081776,male,40,0,0,2623,7.225
663,0,1,40208276430,male,47,0,0,5727,25.5875
664,0,3,40003117830,male,36,0,0,349210,7.4958
665,1,3,45249833439,male,20,1,0,STON/O 2. 3101285,7.925
666,0,2,28846593669,male,32,2,0,S.O.C. 14879,73.5
667,0,2,29665986771,male,25,0,0,234686,13
668,0,3,41073629685,male,,0,0,312993,7.775
669,0,3,24495341492,male,43,0,0,A/5 3536,8.05
670,1,1,44987409422,female,,1,0,19996,52
671,1,2,30652378766,female,40,1,1,29750,39
672,0,1,41754392715,male,31,1,0,F.C. 12750,52
673,0,2,25432045761,male,70,0,0,C.A. 24580,10.5
674,1,2,25653355592,male,31,0,0,244270,13
675,0,2,26814653934,male,,0,0,239856,0
676,0,3,36192420002,male,18,0,0,349912,7.775
677,0,3,31422179163,male,24.5,0,0,342826,8.05
678,1,3,26023086744,female,18,0,0,4138,9.8417
679,0,3,26425215541,female,43,1,6,CA 2144,46.9
680,1,1,37974439458,male,36,0,1,PC 17755,512.3292
681,0,3,25250288944,female,,0,0,330935,8.1375
682,1,1,44598635466,male,27,0,0,PC 17572,76.7292
683,0,3,23243452849,male,20,0,0,6563,9.225
684,0,3,38418318283,male,14,5,2,CA 2144,46.9
685,0,2,35293147095,male,60,1,1,29750,39
686,0,2,35521510675,male,25,1,2,SC/Paris 2123,41.5792
687,0,3,24242816478,male,14,4,1,3101295,39.6875
688,0,3,39513736529,male,19,0,0,349228,10.1708
689,0,3,33883440634,male,18,0,0,350036,7.7958
690,1,1,31430840762,female,15,0,1,24160,211.3375
691,1,1,38552036022,male,31,1,0,17474,57
692,1,3,32220011792,female,4,0,1,349256,13.4167
693,1,3,23444454890,male,,0,0,1601,56.4958
694,0,3,38213097730,male,25,0,0,2672,7.225
695,0,1,32453075667,male,60,0,0,113800,26.55
696,0,2,28441275524,male,52,0,0,248731,13.5
697,0,3,36468386788,male,44,0,0,363592,8.05
698,1,3,31958396067,female,,0,0,35852,7.7333
699,0,1,32170884220,male,49,1,1,17421,110.8833
700,0,3,41295761154,male,42,0,0,348121,7.65
701,1,1,27882429332,female,18,1,0,PC 17757,227.525
702,1,1,39782885362,male,35,0,0,PC 17475,26.2875
703,0,3,35134081796,female,18,0,1,2691,14.4542
704,0,3,39480653689,male,25,0,0,36864,7.7417
705,0,3,42385494923,male,26,1,0,350025,7.8542
706,0,2,40933435380,male,39,0,0,250655,26
707,1,2,26939831610,female,45,0,0,223596,13.5
708,1,1,33754345803,male,42,0,0,PC 17476,26.2875
709,1,1,36751016361,female,22,0,0,113781,151.55
710,1,3,35225880677,male,,1,1,2661,15.2458
711,1,1,29141712138,female,24,0,0,PC 17482,49.5042
712,0,1,44608756234,male,,0,0,113028,26.55
713,1,1,42747327800,male,48,1,0,19996,52
714,0,3,30498210262,male,29,0,0,7545,9.4833
715,0,2,22349018322,male,52,0,0,250647,13
716,0,3,21397241640,male,19,0,0,348124,7.65
717,1,1,28966753076,female,38,0,0,PC 17757,227.525
718,1,2,40166515394,female,27,0,0,34218,10.5
719,0,3,40796449398,male,,0,0,36568,15.5
720,0,3,25702395072,male,33,0,0,347062,7.775
721,1,2,41826061108,female,6,0,1,248727,33
722,0,3,39420060658,male,17,1,0,350048,7.0542
723,0,2,26688095456,male,34,0,0,12233,13
724,0,2,42603940423,male,50,0,0,250643,13
725,1,1,27860289543,male,27,1,0,113806,53.1
726,0,3,41437199918,male,20,0,0,315094,8.6625
727,1,2,37110034713,female,30,3,0,31027,21
728,1,3,25801963714,female,,0,0,36866,7.7375
729,0,2,41647701892,male,25,1,0,236853,26
730,0,3,39912291367,female,25,1,0,STON/O2. 3101271,7.925
731,1,1,44434165067,female,29,0,0,24160,211.3375
732,0,3,23485522783,male,11,0,0,2699,18.7875
733,0,2,27742978469,male,,0,0,239855,0
734,0,2,24021371637,male,23,0,0,28425,13
735,0,2,43376326708,male,23,0,0,233639,13
736,0,3,43559325430,male,28.5,0,0,54636,16.1
737,0,3,30906864740,female,48,1,3,W./C. 6608,34.375
738,1,1,32224642332,male,35,0,0,PC 17755,512.3292
739,0,3,39487901330,male,,0,0,349201,7.8958
740,0,3,45699446601,male,,0,0,349218,7.8958
741,1,1,31206740601,male,,0,0,16988,30
742,0,1,44791691718,male,36,1,0,19877,78.85
743,1,1,43236946307,female,21,2,2,PC 17608,262.375
744,0,3,40573303132,male,24,1,0,376566,16.1
745,1,3,34079065887,male,31,0,0,STON/O 2. 3101288,7.925
746,0,1,26705031407,male,70,1,1,WE/P 5735,71
747,0,3,45149246948,male,16,1,1,C.A. 2673,20.25
748,1,2,38933331932,female,30,0,0,250648,13
749,0,1,24917379310,male,19,1,0,113773,53.1
750,0,3,44127850745,male,31,0,0,335097,7.75
751,1,2,22051772739,female,4,1,1,29103,23
752,1,3,35774164220,male,6,0,1,392096,12.475
753,0,3,40952272130,male,33,0,0,345780,9.5
754,0,3,41788667491,male,23,0,0,349204,7.8958
755,1,2,40407749377,female,48,1,2,220845,65
756,1,2,20176134209,male,0.67,1,1,250649,14.5
757,0,3,41684130826,male,28,0,0,350042,7.7958
758,0,2,22149659441,male,18,0,0,29108,11.5
759,0,3,27488146893,male,34,0,0,363294,8.05
760,1,1,43677997614,female,33,0,0,110152,86.5
761,0,3,20975884112,male,,0,0,358585,14.5
762,0,3,22357877739,male,41,0,0,SOTON/O2 3101272,7.125
763,1,3,26837764516,male,20,0,0,2663,7.2292
764,1,1,20767526953,female,36,1,2,113760,120
765,0,3,31502884127,male,16,0,0,347074,7.775
766,1,1,22695404204,female,51,1,0,13502,77.9583
767,0,1,42584333680,male,,0,0,112379,39.6
768,0,3,24839891211,female,30.5,0,0,364850,7.75
769,0,3,39228028053,male,,1,0,371110,24.15
770,0,3,23311675482,male,32,0,0,8471,8.3625
771,0,3,41059408730,male,24,0,0,345781,9.5
772,0,3,25858658409,male,48,0,0,350047,7.8542
773,0,2,36481254342,female,57,0,0,S.O./P.P. 3,10.5
774,0,3,40311166578,male,,0,0,2674,7.225
775,1,2,31030398311,female,54,1,3,29105,23
776,0,3,29442117672,male,18,0,0,347078,7.75
777,0,3,23838953325,male,,0,0,383121,7.75
778,1,3,28750406178,female,5,0,0,364516,12.475
779,0,3,21539842944,male,,0,0,36865,7.7375
780,1,1,41168307833,female,43,0,1,24160,211.3375
781,1,3,28720546369,female,13,0,0,2687,7.2292
782,1,1,40243892867,female,17,1,0,17474,57
783,0,1,22828581440,male,29,0,0,113501,30
784,0,3,20534234210,male,,1,2,W./C. 6607,23.45
785,0,3,32688796218,male,25,0,0,SOTON/O.Q. 3101312,7.05
786,0,3,36508161840,male,25,0,0,374887,7.25
787,1,3,28530737400,female,18,0,0,3101265,7.4958
788,0,3,37110961019,male,8,4,1,382652,29.125
789,1,3,44834896394,male,1,1,2,C.A. 2315,20.575
790,0,1,39039646886,male,46,0,0,PC 17593,79.2
791,0,3,40861342300,male,,0,0,12460,7.75
792,0,2,45368563638,male,16,0,0,239865,26
793,0,3,34891422795,female,,8,2,CA. 2343,69.55
794,0,1,38864230795,male,,0,0,PC 17600,30.6958
795,0,3,20514064615,male,25,0,0,349203,7.8958
796,0,2,42854179240,male,39,0,0,28213,13
797,1,1,31288834940,female,49,0,0,17465,25.9292
798,1,3,45249222502,female,31,0,0,349244,8.6833
799,0,3,40122838190,male,30,0,0,2685,7.2292
800,0,3,44121067831,female,30,1,1,345773,24.15
801,0,2,36693134738,male,34,0,0,250647,13
802,1,2,38404391689,female,31,1,1,C.A. 31921,26.25
803,1,1,34307860659,male,11,1,2,113760,120
804,1,3,28910198220,male,0.42,0,1,2625,8.5167
805,1,3,41921933911,male,27,0,0,347089,6.975
806,0,3,23406393013,male,31,0,0,347063,7.775
807,0,1,21534120962,male,39,0,0,112050,0
808,0,3,20451047285,female,18,0,0,347087,7.775
809,0,2,28639767115,male,39,0,0,248723,13
810,1,1,21254438478,female,33,1,0,113806,53.1
811,0,3,20213331736,male,26,0,0,3474,7.8875
812,0,3,25806535608,male,39,0,0,A/4 48871,24.15
813,0,2,21455842712,male,35,0,0,28206,10.5
814,0,3,43304661669,female,6,4,2,347082,31.275
815,0,3,23773236148,male,30.5,0,0,364499,8.05
816,0,1,26785625352,male,,0,0,112058,0
817,0,3,30012815785,female,23,0,0,STON/O2. 3101290,7.925
818,0,2,27572422215,male,31,1,1,S.C./PARIS 2079,37.0042
819,0,3,26088990453,male,43,0,0,C 7075,6.45
820,0,3,30852189820,male,10,3,2,347088,27.9
821,1,1,30958321661,female,52,1,1,12749,93.5
822,1,3,32482607371,male,27,0,0,315098,8.6625
823,0,1,42602969095,male,38,0,0,19972,0
824,1,3,37427717077,female,27,0,1,392096,12.475
825,0,3,32965268464,male,2,4,1,3101295,39.6875
826,0,3,29625829337,male,,0,0,368323,6.95
827,0,3,42510046308,male,,0,0,1601,56.4958
828,1,2,21044193166,male,1,0,2,S.C./PARIS 2079,37.0042
829,1,3,22426874059,male,,0,0,367228,7.75
830,1,1,38440498240,female,62,0,0,113572,80
831,1,3,28062775357,female,15,1,0,2659,14.4542
832,1,2,32752032044,male,0.83,1,1,29106,18.75
833,0,3,21118940559,male,,0,0,2671,7.2292
834,0,3,23226387989,male,23,0,0,347468,7.8542
835,0,3,40238257308,male,18,0,0,2223,8.3
836,1,1,25239951933,female,39,1,1,PC 17756,83.1583
837,0,3,36422846465,male,21,0,0,315097,8.6625
838,0,3,22166301407,male,,0,0,392092,8.05
839,1,3,37840321427,male,32,0,0,1601,56.4958
840,1,1,39321435191,male,,0,0,11774,29.7
841,0,3,30688033220,male,20,0,0,SOTON/O2 3101287,7.925
842,0,2,26108196882,male,16,0,0,S.O./P.P. 3,10.5
843,1,1,34493271163,female,30,0,0,113798,31
844,0,3,44218462886,male,34.5,0,0,2683,6.4375
845,0,3,27426884357,male,17,0,0,315090,8.6625
846,0,3,38917632023,male,42,0,0,C.A. 5547,7.55
847,0,3,43626222093,male,,8,2,CA. 2343,69.55
848,0,3,35154384669,male,35,0,0,349213,7.8958
849,0,2,30371910692,male,28,0,1,248727,33
850,1,1,29015319641,female,,1,0,17453,89.1042
851,0,3,42189048887,male,4,4,2,347082,31.275
852,0,3,22544549448,male,74,0,0,347060,7.775
853,0,3,37579227936,female,9,1,1,2678,15.2458
854,1,1,36410704056,female,16,0,1,PC 17592,39.4
855,0,2,37657790235,female,44,1,0,244252,26
856,1,3,24882529806,female,18,0,1,392091,9.35
857,1,1,37532302324,female,45,1,1,36928,164.8667
858,1,1,40846642606,male,51,0,0,113055,26.55
859,1,3,45826961633,female,24,0,3,2666,19.2583
860,0,3,28978875886,male,,0,0,2629,7.2292
861,0,3,33867427605,male,41,2,0,350026,14.1083
862,0,2,29976698571,male,21,1,0,28134,11.5
863,1,1,33507076942,female,48,0,0,17466,25.9292
864,0,3,28184660933,female,,8,2,CA. 2343,69.55
865,0,2,20080329111,male,24,0,0,233866,13
866,1,2,30007392340,female,42,0,0,236852,13
867,1,2,41536075762,female,27,1,0,SC/PARIS 2149,13.8583
868,0,1,38933915529,male,31,0,0,PC 17590,50.4958
869,0,3,37042723189,male,,0,0,345777,9.5
870,1,3,20558035877,male,4,1,1,347742,11.1333
871,0,3,21247144888,male,26,0,0,349248,7.8958
872,1,1,39195782205,female,47,1,1,11751,52.5542
873,0,1,34230073161,male,33,0,0,695,5
874,0,3,23856189911,male,47,0,0,345765,9
875,1,2,20479271675,female,28,1,0,P/PP 3381,24
876,1,3,44879148102,female,15,0,0,2667,7.225
877,0,3,25021674657,male,20,0,0,7534,9.8458
878,0,3,22376536237,male,19,0,0,349212,7.8958
879,0,3,31901250333,male,,0,0,349217,7.8958
880,1,1,22786647398,female,56,0,1,11767,83.1583
881,1,2,44181037985,female,25,0,1,230433,26
882,0,3,39168169111,male,33,0,0,349257,7.8958
883,0,3,35427342692,female,22,0,0,7552,10.5167
884,0,2,25728958831,male,28,0,0,C.A./SOTON 34068,10.5
885,0,3,23067570162,male,25,0,0,SOTON/OQ 392076,7.05
886,0,3,34102991205,female,39,0,5,382652,29.125
887,0,2,27033784027,male,27,0,0,211536,13
888,1,1,31061515591,female,19,0,0,112053,30
889,0,3,45450001764,female,,1,2,W./C. 6607,23.45
890,1,1,32974535532,male,26,0,0,111369,30
891,0,3,44901529123,male,32,0,0,370376,7.75
